,values
pandas,3887
numpy,3797
os,1078
matplotlib.pyplot,987
train_test_split,768
time,559
xgboost,548
gc,521
check_output,483
datetime,448
Dense,425
LabelEncoder,411
seaborn,382
StandardScaler,370
Dropout,361
re,338
KFold,328
RandomForestClassifier,326
preprocessing,317
lightgbm,313
roc_auc_score,307
Sequential,303
LogisticRegression,299
random,296
warnings,269
TfidfVectorizer,251
sys,239
StratifiedKFold,230
csv,228
cross_val_score,222
math,216
Flatten,208
mean_squared_error,199
Activation,193
Model,188
metrics,181
*,180
Input,179
tensorflow,171
glob,164
SVC,159
tqdm,159
GridSearchCV,158
BatchNormalization,157
CountVectorizer,156
cv2,154
accuracy_score,153
log_loss,145
PCA,144
EarlyStopping,138
RandomForestRegressor,134
MaxPooling2D,130
ModelCheckpoint,128
TruncatedSVD,128
ensemble,127
Embedding,126
Pipeline,123
stopwords,122
Adam,121
Image,120
KNeighborsClassifier,115
hstack,111
backend,110
confusion_matrix,108
csr_matrix,106
json,100
sqlite3,100
np_utils,99
LinearRegression,97
keras,97
Conv2D,94
defaultdict,92
OneHotEncoder,90
model_selection,88
Counter,88
concatenate,84
Ridge,83
matplotlib,82
ExtraTreesClassifier,82
DecisionTreeClassifier,81
MinMaxScaler,80
cross_validation,79
XGBClassifier,79
LSTM,79
pickle,78
svm,77
SGD,77
mean_absolute_error,76
text,75
GradientBoostingClassifier,74
GaussianNB,73
BaseEstimator,72
scipy,72
TransformerMixin,72
linear_model,71
itemgetter,68
LabelBinarizer,67
string,67
Callback,67
operator,66
multiprocessing,66
ImageDataGenerator,64
FeatureUnion,64
make_scorer,64
logging,62
shuffle,62
itertools,61
grid_search,61
pipeline,60
r2_score,60
pyplot,59
Imputer,58
Convolution2D,58
sqrt,58
nltk,58
optimizers,58
LinearSVC,57
zipfile,57
Bidirectional,57
SpatialDropout1D,57
contextmanager,56
Pool,56
GRU,56
skew,54
Tokenizer,53
roc_curve,53
make_pipeline,53
Conv1D,53
classification_report,52
kagglegym,52
pad_sequences,49
GlobalAveragePooling1D,48
sequence,48
ReduceLROnPlateau,47
sklearn,47
load_model,45
GradientBoostingRegressor,45
ExtraTreesRegressor,45
to_categorical,45
LGBMClassifier,44
GlobalMaxPooling1D,44
MaxPooling1D,44
SGDClassifier,44
sparse,43
AdaBoostClassifier,43
BeautifulSoup,43
PReLU,42
print_function,42
division,41
XGBRegressor,41
MultinomialNB,40
layers,40
theano,37
MLPClassifier,37
timedelta,37
WordNetLemmatizer,37
DictVectorizer,36
RMSprop,35
pylab,35
SelectFromModel,34
FastICA,33
torch,33
stats,33
gzip,33
regularizers,32
KMeans,32
FM_FTRL,32
Lasso,32
delayed,31
io,31
Reshape,31
exp,31
auc,31
partial,30
Parallel,30
log,30
DataFrame,30
initializers,30
SparseRandomProjection,30
psutil,30
jit,30
nlargest,30
decomposition,29
SelectKBest,29
StratifiedShuffleSplit,29
Basemap,29
VarianceThreshold,28
imread,28
neighbors,28
ZeroPadding2D,28
GaussianRandomProjection,28
PorterStemmer,27
argparse,27
wordbatch,27
LearningRateScheduler,26
Concatenate,26
word_tokenize,26
nesterov_momentum,25
SGDRegressor,25
NeuralNet,25
RandomizedSearchCV,25
fbeta_score,24
copy,24
