,values
sklearn,230633
keras,102108
pandas,73032
numpy,72299
matplotlib.pyplot,48248
os,41168
seaborn,31282
tensorflow,23917
scipy,12877
warnings,11481
nltk,11156
matplotlib,10368
torch,9925
plotly,9090
IPython,7814
xgboost,7187
datetime,6938
tqdm,6643
math,5921
random,5872
time,5819
re,5543
cv2,4610
gc,4602
PIL,4556
collections,4550
lightgbm,4344
wordcloud,4066
skimage,3985
plotly.graph_objs,3737
torchvision,3612
bokeh,3491
fastai,3403
subprocess,3297
sys,3065
itertools,2977
statsmodels,2944
json,2932
glob,2721
plotly.express,2312
gensim,2214
string,2030
plotly.offline,1941
folium,1895
torch.nn,1888
pickle,1870
imblearn,1780
mpl_toolkits,1683
albumentations,1677
torch.nn.functional,1562
__future__,1551
catboost,1507
transformers,1498
statsmodels.api,1481
pathlib,1385
plotly.graph_objects,1350
pylab,1212
csv,1198
spacy,1192
shutil,987
hyperopt,953
matplotlib.image,915
plotly.plotly,904
ipywidgets,901
functools,841
joblib,823
plotly.figure_factory,822
learntools,792
torch.optim,778
mlxtend,776
multiprocessing,771
copy,768
scipy.stats,763
operator,751
pyspark,740
requests,732
typing,714
fbprophet,707
keras.backend,673
bq_helper,654
plotly.tools,634
logging,623
zipfile,599
eli5,599
matplotlib.pylab,597
missingno,585
io,563
pandas_profiling,556
cufflinks,544
bs4,530
torchvision.transforms,500
pprint,499
sqlite3,487
networkx,465
matplotlib.patches,459
geopandas,457
graphviz,426
google,422
surprise,417
statsmodels.formula.api,414
ast,411
h2o,406
kaggle,388
sklearn.metrics,386
category_encoders,385
shap,382
base64,363
urllib,348
matplotlib.gridspec,345
textblob,343
h5py,342
matplotlib.cm,336
statistics,335
shapely,332
pydicom,326
kaggle_environments,323
skopt,317
librosa,298
kaggle_datasets,298
tokenizers,297
yellowbrick,292
numba,287
torch.utils.data,285
matplotlib.ticker,278
argparse,276
mxnet,273
imgaug,268
tensorflow_hub,257
skimage.io,252
tensorflow.keras.backend,250
pdpbox,247
altair,246
imageio,244
calendar,242
matplotlib.dates,240
scikitplot,236
IPython.display,231
pytorch_pretrained_bert,229
codecs,223
chainer,213
matplotlib.colors,210
torchvision.models,208
contextlib,199
efficientnet.tfkeras,191
mrcnn,191
bayes_opt,184
lasagne,182
utils,181
squarify,181
ignite,180
detectron2,174
geopy,171
plotly.io,168
fastai2,165
catalyst,165
wordbatch,164
sklearn.model_selection,163
tflearn,162
timeit,162
psutil,157
matplotlib.animation,153
dateutil,151
os.path,147
gzip,147
cuml,145
pycountry,144
librosa.display,144
six,143
matplotlib.style,142
tensorflow.keras,141
nilearn,130
torchtext,129
