,0
Dense,22776
Conv2D,15511
Dropout,12573
Sequential,7949
BatchNormalization,7605
MaxPooling2D,6089
Activation,5636
Input,4417
Flatten,4243
Model,3948
to_categorical,3131
ImageDataGenerator,2796
Adam,2139
Convolution2D,2071
pad_sequences,1883
Embedding,1875
MaxPool2D,1668
LSTM,1666
ModelCheckpoint,1649
EarlyStopping,1612
LeakyReLU,1489
sum,1293
Dense.layers,1271
concatenate,1257
Conv1D,1254
l2,1209
ReduceLROnPlateau,1157
load_img,983
Tokenizer,923
ZeroPadding2D,855
img_to_array,815
Bidirectional,804
to_categorical.utils,771
Conv2DTranspose,758
Lambda,749
UpSampling2D,644
SGD,631
Conv2D.layers,601
TimeDistributed,587
GlobalAveragePooling2D,580
RMSprop,575
load_model,561
cast,536
PReLU,524
Concatenate,509
Reshape,473
epsilon,450
MaxPooling1D,449
get,439
BatchNormalization.layers,433
Dropout.layers,410
mean,407
preprocess_input,391
CuDNNLSTM,357
categorical_crossentropy.losses,348
Adam.optimizers,341
VGG16,333
GRU,318
Add,309
GlobalMaxPooling1D,305
reshape,301
SpatialDropout1D,291
plot_model,277
clip,265
LearningRateScheduler,264
flatten,260
variable,256
round,255
square,252
AveragePooling2D,245
GlobalAveragePooling1D,244
load_data,241
KerasClassifier,233
sqrt,220
ResNet50,218
Flatten.layers,213
floatx,210
get_value,210
add,199
GlobalMaxPool1D,198
RandomNormal,197
Sequential.models,195
int_shape,182
he_normal,176
CuDNNGRU,175
clear_session,169
SeparableConv2D,168
EarlyStopping.callbacks,165
__version__,162
zeros,162
expand_dims,158
LeakyReLU.layers,158
MaxPooling2D.layers,154
dtype,154
InceptionV3,149
update,140
Sequence.utils,139
Adadelta.optimizers,134
binary_crossentropy,130
set_value,127
glorot_uniform,127
MaxPool2D.layers,119
l1,118
TensorBoard,118
MaxPool1D,116
shape,113
learning_phase,112
log,112
Convolution1D,111
equal,110
SGD.optimizers,109
Activation.layers,108
l2.regularizers,105
Xception,103
function,102
CSVLogger,100
Input.layers,100
ModelCheckpoint.callbacks,99
Model.models,99
GlobalMaxPooling2D,98
SimpleRNN,98
pow,95
abs,94
VGG19,93
DenseNet121,93
DepthwiseConv2D,93
adam,92
maxnorm,88
l1_l2,87
Callback.callbacks,87
switch,84
RMSprop.optimizers,84
maximum,83
merge,82
Conv3D,80
ReLU,80
exp,78
add.layers,74
load_model.models,72
model_from_json,71
GaussianNoise,70
binary_crossentropy.losses,69
dot,69
Multiply,69
squeeze,66
batch_dot,66
array_to_img,65
KerasRegressor,65
image_data_format,65
AveragePooling1D,65
Constant,64
clear_session.backend,63
Embedding.layers,63
InceptionResNetV2,63
permute_dimensions,60
TruncatedNormal.initializers,59
serialize,58
Concatenate.layers,57
Adadelta,56
GaussianDropout,55
RepeatVector,55
max_norm,54
eval,51
Nadam,51
set_image_data_format,50
ReduceLROnPlateau.callbacks,50
he_uniform,49
ELU,49
multiply,48
backend,48
AvgPool2D,45
Layer,45
MobileNet,43
set_session,43
max,42
LSTM.layers,40
GlobalAvgPool2D,39
plot_model.utils,39
top_k_categorical_accuracy,39
rmsprop,37
TruncatedNormal,37
TimeseriesGenerator,36
decode_predictions,36
LearningRateScheduler.callbacks,35
rmsprop.optimizers,35
MaxPooling3D,35
TensorBoard.callbacks,34
UpSampling2D.layers,34
argmax,34
get_file,33
GlobalMaxPool2D,33
Merge,33
concatenate.layers,33
Cropping2D,33
GlobalAveragePooling2D.layers,32
HDF5Matrix,32
MobileNetV2,31
greater,30
name_scope,30
UpSampling1D,30
not_equal,28
RandomNormal.initializers,28
gradients,28
InputSpec,28
Adamax,27
Zeros,25
model_to_dot,25
tanh,25
less,24
Subtract,24
Conv1D.layers,24
categorical_crossentropy,23
relu.activations,23
SpatialDropout2D,23
Adagrad,22
Reshape.layers,22
transpose,22
softmax,21
update_add,20
DenseNet201,20
layers,20
set_learning_phase,20
batch_flatten,20
zeros_like,20
sparse_categorical_crossentropy,20
RandomUniform,20
InputLayer,20
GlobalAveragePooling1D.layers,20
sigmoid,19
stack,18
History,18
tile,18
Bidirectional.layers,18
Permute,18
SpatialDropout1D.layers,18
adam.optimizers,17
append,17
glorot_normal,17
GRU.layers,17
NASNetMobile,17
RandomUniform.initializers,17
Lambda.layers,17
MaxPool3D,16
one_hot,16
get_session,16
Optimizer.optimizers,16
arange,16
he_normal.initializers,15
Layer.layers,15
relu,15
PReLU.layers,15
Dot,15
mean_squared_error.losses,15
map_fn,14
SeparableConv1D,14
ReLU.layers,14
sin,14
fashion_mnist.datasets,14
ZeroPadding1D,14
Huber.losses,14
get_word_index,14
AveragePooling2D.layers,14
mean_absolute_error,14
LambdaCallback,13
std,13
DenseNet169,13
random_normal,13
is_keras_tensor,13
ZeroPadding2D.layers,13
set_image_dim_ordering,13
conv1d,12
l2_normalize,12
identity_block,12
sparse_categorical_crossentropy.losses,12
local_conv1d,12
cos,12
ConvLSTM2D,12
Progbar,12
NASNetLarge,11
models,11
GaussianNoise.layers,11
utils,11
get_source_inputs,11
lower,11
load_weights_from_hdf5_group_by_name,11
image_dim_ordering,11
Highway,11
VGG16.applications,11
InputLayer.layers,10
min,10
CategoricalCrossentropy.losses,10
Masking,10
clone_model.models,10
random_rotation,10
cumsum,10
pil_image,10
load_weights_from_hdf5_group,10
normalize,9
Nadam.optimizers,9
mean_squared_error,9
Cropping1D,9
l1_l2.regularizers,9
GeneratorEnqueuer,9
Softmax,9
set_floatx,8
print_summary,8
