,0
show,146777
figure,114518
title,111554
plot,75992
ylabel,74436
xlabel,74280
subplots,59139
subplot,40246
legend,38585
xticks,30190
imshow,27093
scatter,22111
tight_layout,13300
axis,10792
hist,10153
bar,9199
yticks,9172
grid,8154
ylim,7156
xlim,6253
savefig,5446
text,5212
rcParams,4368
subplots_adjust,4212
suptitle,3986
pie,3667
colorbar,3487
imread,2678
gcf,2232
subplot2grid,2214
barh,2016
tick_params,1768
setp,1738
axvline,1718
close,1598
rc,1596
gca,1555
boxplot,1489
matshow,1308
get_cmap,1222
fill_between,1221
axhline,1142
clf,1142
annotate,1121
axes,927
Circle,798
ioff,736
yscale,715
Patch,708
Rectangle,672
GridSpec,629
ListedColormap,539
use,515
contourf,512
xscale,442
hlines,362
Normalize,332
DateFormatter,329
margins,302
vlines,290
gray,285
MultipleLocator,281
FuncAnimation,238
figtext,225
cla,222
FancyArrowPatch,220
FuncFormatter,214
sca,198
MaxNLocator,194
Line2D,189
step,178
pause,178
hist2d,172
ticklabel_format,166
contour,166
errorbar,165
pcolormesh,156
box,150
plot_date,148
rainbow,146
semilogx,144
rcdefaults,132
use.style,125
draw,114
imsave,105
PercentFormatter,103
Arc,98
date2num,94
Polygon,90
StrMethodFormatter,81
arrow,76
YearLocator,75
xkcd,72
get_height,72
stackplot,72
axvspan,70
locator_params,68
stem,68
rgb2hex,67
binary,66
ion,66
__version__,66
fill,66
ScalarMappable,65
FormatStrFormatter,65
Path,63
MonthLocator,61
Figure,60
ListedColormap.colors,59
semilogy,58
PatchCollection,57
ArtistAnimation,52
table,50
clim,48
PathPatch,48
Subplot,46
set_cmap,44
LogNorm,42
Normalize.colors,42
pcolor,42
hexbin,40
FontProperties,39
Normal,38
specgram,37
get_width,36
DayLocator,36
quiver,36
HandlerLine2D,36
twinx,36
violinplot,36
normpdf,36
PathPatchEffect,36
get_x,36
autoscale,33
ScalarFormatter,33
Stroke,32
minorticks_on,32
update.rcParams,29
GridSpecFromSubplotSpec,28
viridis,28
set_ylabel,28
set_xlabel,28
plot.pyplot,27
date2num.dates,26
loglog,26
FuncFormatter.ticker,26
AnnotationBbox,25
EngFormatter,24
Ellipse,23
AutoDateLocator,23
binary.cm,22
OffsetImage,22
axhspan,22
nipy_spectral,22
rcParamsDefault,22
figaspect,22
get_cmap.cm,21
NullLocator,20
rgrids,20
HourLocator,20
figlegend,20
WeekdayLocator,18
Arrow,18
figure.pyplot,18
spy,18
clabel,18
FixedFormatter,18
NullFormatter,17
RegularPolygon,16
resize,16
jet,16
to_rgb,16
switch_backend,14
ScalarFormatter.ticker,14
register_cmap,14
seismic,13
Blues,13
interactive,13
polar,12
Rectangle.patches,12
MinuteLocator,12
save,12
hold,12
LineCollection,11
psd,11
candlestick_ohlc,11
rc_context,11
FixedLocator,10
acorr,10
index,10
LinearLocator,10
cycler,10
from_list,10
figsize,9
columns,9
Axes,8
to_rgb.colors,8
show.pyplot,8
sum,8
astype,8
AxisInfo,8
PdfPages,8
Wedge,8
Reds,8
hsv,8
boxplot.pyplot,8
max,8
Blues.cm,7
Patch.patches,7
gcf.pyplot,7
legend.pyplot,7
xlabel.pyplot,7
get_backend,7
title.pyplot,7
register_projection,7
ylabel.pyplot,7
Spine,7
imshow.pyplot,7
AutoMinorLocator,6
_gen_axes_spines,6
SimpleLineShadow,6
coolwarm,6
Line2D.lines,6
Paired.cm,6
DateFormatter.dates,6
gray_r,6
fill_betweenx,6
FuncAnimation.animation,6
T,6
registry,6
shape,6
FontProperties.font_manager,6
candlestick2_ohlc,6
writers,5
LogLocator,5
mplDeprecation.cbook,5
RdBu,5
available,5
Pastel1,5
jet.cm,5
FFMpegWriter,5
ColorbarBase.colorbar,5
s,5
PowerNorm,5
savefig.pyplot,5
make_axes.colorbar,5
scatter.pyplot,5
inferno,5
imsave.image,4
triplot,4
set_xticklabels,4
sci,4
getp,4
read_csv,4
get_xticklabels,4
twiny,4
Spectral,4
bwr,4
gist_rainbow,4
spectral,4
update,4
add_subplot,4
tightlayout,4
SymLogNorm,4
iterable,4
items,3
convert,3
Text,3
LightSource,3
MonthLocator.dates,3
Oranges,3
TextArea,3
MONDAY,3
LinearSegmentedColormap.colors,3
blended_transform_factory,3
rgb2hex.colors,3
FigureCanvasAgg,3
plasma,3
bivariate_normal,3
AnchoredText,2
xcorr,2
Ellipse.patches,2
datestr2num,2
AutoLocator,2
setup,2
set_facecolor,2
PillowWriter,2
to_rgba,2
flatten,2
to_csv,2
YearLocator.dates,2
Annotation,2
withStroke,2
rgb_to_hsv,2
gray.cm,2
style,2
axes.pyplot,2
get_sample_data,2
offset_copy,2
to_hex,2
cuda,2
tripcolor,2
Triangulation,2
Spectral.cm,2
tab20,2
ScalarMappable.cm,2
Xlabel,2
BoxStyle,2
Wedge.patches,2
hot,2
FancyBboxPatch,2
save_fig,2
get_fignums,2
cnames.colors,2
bar.pyplot,2
LinearTriInterpolator,2
autumn,2
gist_earth,2
get_camp,2
PCA,2
PolyCollection,2
thetagrids,2
gist_heat,2
Polygon.patches,2
TextBox,2
LinearSegmentedColormap,2
DateLocator,2
cnames,2
delaxes,2
coolwarm.cm,2
subplot_tool,2
GridSpec.gridspec,2
tricontourf,2
Oranges.cm,1
findSystemFonts.font_manager,1
axis.pyplot,1
