,0
train_test_split,22069
accuracy_score,14695
confusion_matrix,10755
RandomForestClassifier,8558
mean_squared_error,8119
LogisticRegression,7382
LabelEncoder,6778
classification_report,6651
roc_auc_score,5929
cross_val_score,5757
StandardScaler,5657
GridSearchCV,5356
SVC,4851
KNeighborsClassifier,4649
DecisionTreeClassifier,4408
LinearRegression,4293
RandomForestRegressor,3663
f1_score,3554
mean_absolute_error,3552
Pipeline,3544
r2_score,3390
KFold,3166
roc_curve,2615
MinMaxScaler,2284
StratifiedKFold,2236
TfidfVectorizer,2201
CountVectorizer,2136
PCA,2054
recall_score,1992
GaussianNB,1917
precision_score,1846
KMeans,1799
auc,1730
GradientBoostingClassifier,1639
log_loss,1592
OneHotEncoder,1542
DecisionTreeRegressor,1382
SimpleImputer,1329
make_pipeline,1321
AdaBoostClassifier,1151
Ridge,1150
GradientBoostingRegressor,1064
ExtraTreesClassifier,1038
Lasso,1012
RobustScaler,931
RandomizedSearchCV,902
LinearSVC,796
MultinomialNB,782
SGDClassifier,765
make_scorer,752
shuffle,733
PolynomialFeatures,677
MLPClassifier,667
SVR,650
Imputer,594
cohen_kappa_score,582
cross_val_predict,558
ElasticNet,552
TruncatedSVD,540
scale,536
VotingClassifier,526
TSNE,469
export_graphviz,459
KNeighborsRegressor,456
LabelBinarizer,434
LinearDiscriminantAnalysis,418
mean_squared_log_error,395
ColumnTransformer,395
BaggingClassifier,387
SelectKBest,357
precision_recall_curve,355
RFE,350
StratifiedShuffleSplit,336
normalize,332
TfidfTransformer,325
cross_validate,323
ExtraTreesRegressor,323
clone,304
SelectFromModel,288
CalibratedClassifierCV,272
minmax_scale,267
QuadraticDiscriminantAnalysis,264
Perceptron,261
silhouette_score,260
BernoulliNB,259
RidgeCV,258
FeatureUnion,257
load_iris,254
LassoCV,245
FunctionTransformer,243
average_precision_score,237
AdaBoostRegressor,229
learning_curve,227
OneVsRestClassifier,226
resample,214
precision_recall_fscore_support,210
ShuffleSplit,207
GroupKFold,207
GaussianMixture,201
cosine_similarity,186
KernelRidge,167
ElasticNetCV,166
DictVectorizer,164
explained_variance_score,158
AgglomerativeClustering,155
VarianceThreshold,144
LogisticRegressionCV,143
mutual_info_score,143
