,values
layers,42920
models,10931
callbacks,7461
optimizers,5135
preprocessing.image,3885
utils,2863
layers.core,2313
layers.convolutional,1480
preprocessing,1289
preprocessing.text,943
utils.np_utils,937
preprocessing.sequence,873
applications,710
backend,670
layers.normalization,634
applications.vgg16,521
losses,438
wrappers.scikit_learn,424
datasets,420
regularizers,414
layers.advanced_activations,394
applications.resnet50,371
layers.merge,327
utils.vis_utils,317
initializers,283
applications.inception_v3,283
metrics,224
layers.pooling,218
engine.topology,208
applications.densenet,202
engine,193
applications.xception,151
layers.embeddings,139
constraints,137
layers.recurrent,114
applications.imagenet_utils,112
utils.data_utils,106
activations,100
applications.vgg19,99
applications.inception_resnet_v2,96
applications.nasnet,76
applications.mobilenet,64
utils.generic_utils,51
backend.tensorflow_backend,38
callbacks.callbacks,30
legacy,29
applications.mobilenet_v2,22
objectives,19
engine.training,18
layers.wrappers,16
layers.noise,14
engine.input_layer,14
utils.io_utils,10
applications.mobilenetv2,9
applications.resnet,5
legacy.interfaces,4
utils.conv_utils,4
engine.saving,3
utils.visualize_util,3
datasets.mnist,3
utils.test_utils,3
utils.layer_utils,3
layers.convolutional_recurrent,2
applications.resnet_v2,2
engine.base_layer,1
backend.common,1
datasets.cifar10,1
datasets.fashion_mnist,1
applications.inceptio,1
data_utils,1
utils.training_utils,1
datasets.cifar,1
utils.np.utils,1
,89786
