,values
pyplot,43102
image,930
patches,620
pylab,593
colors,539
ticker,419
cm,330
gridspec,301
dates,253
animation,192
style,115
collections,78
lines,65
mlab,55
offsetbox,48
path,47
legend_handler,34
font_manager,23
patheffects,21
cbook,19
backends.backend_pdf,13
finance,13
axes,11
spines,8
projections.polar,7
projections,7
figure,6
widgets,6
transforms,5
units,4
tri,4
backends.backend_agg,4
axes._axes,2
backends.backend_qt4agg,2
text,2
artist,2
plyplot,1
colorbar,1
backend_bases,1
pylpot,1
markers,1
,47885
