,values
metrics,44167
model_selection,39914
preprocessing,22067
ensemble,18056
linear_model,17040
svm,6126
tree,5487
feature_extraction.text,4826
neighbors,4820
naive_bayes,3618
decomposition,3453
pipeline,3077
feature_selection,2829
cross_validation,2286
cluster,2006
base,1771
utils,1331
impute,1044
neural_network,998
datasets,915
discriminant_analysis,872
manifold,687
compose,479
feature_extraction,343
grid_search,329
metrics.pairwise,314
multiclass,268
kernel_ridge,252
mixture,170
externals,164
random_projection,162
calibration,155
gaussian_process,124
gaussian_process.kernels,102
dummy,94
externals.six,86
experimental,86
covariance,75
externals.joblib,69
exceptions,67
utils.multiclass,60
ensemble.partial_dependence,53
datasets.samples_generator,49
multioutput,48
utils.class_weight,44
ensemble.gradient_boosting,43
cross_decomposition,36
utils.validation,35
semi_supervised,32
metrics.classification,29
utils.extmath,27
inspection,24
learning_curve,20
lda,20
metrics.scorer,19
ensemble.forest,18
model_selection._split,17
isotonic,14
qda,14
kernel_approximation,13
utils.testing,13
feature_extraction.image,12
neighbors.nearest_centroid,12
feature_selection.univariate_selection,12
utils.fixes,11
feature_extraction.stop_words,11
metrics.cluster,10
linear_model.logistic,10
ensemble.weight_boosting,9
preprocessing.imputation,8
tree.export,7
linear_model.ridge,7
datasets.base,6
svm.classes,6
linear_model.stochastic_gradient,6
svm.libsvm,5
metrics.regression,5
neighbors.classification,5
neural_network.multilayer_perceptron,4
linear_model.passive_aggressive,4
tree.tree,3
manifold.t_sne,3
preprocessing.data,3
decomposition.pca,3
cluster.dbscan_,3
externals.six.moves,3
neural_network._base,3
neighbors.kde,3
decomposition.kernel_pca,2
linear_model.base,2
linear_model.theil_sen,2
gaussian_process.gpc,2
metrices,2
mixture.gaussian_mixture,2
utils.random,2
ensemble.voting_classifier,2
ensemble.bagging,2
preprocessing.label,1
datasets.mldata,1
neighbors.dist_metrics,1
crossvalidation,1
external.joblib,1
tree._tree,1
impute._base,1
datasets.california_housing,1
merics,1
cluster.hierarchical,1
metrics.base,1
ensemble._gradient_boosting,1
mixture.base,1
utils.metaestimators,1
neural_network._multilayer_perceptron,1
model_selection._validation,1
compost,1
,191566
